word,Joy_Score
frustrated,0.3762402832508087
illness,0.374355673789978
grief,0.3734912574291229
assumed,0.37344494462013245
cancel,0.37237414717674255
legally,0.3720257580280304
blocked,0.3716709613800049
didnt,0.37141963839530945
damaged,0.3713533580303192
neither,0.37128710746765137
abortion,0.37111663818359375
lie,0.3706580400466919
depressed,0.3704424500465393
termination,0.3701781630516052
declined,0.36896124482154846
denied,0.36842331290245056
suffer,0.36709311604499817
delayed,0.3657783567905426
locked,0.3650275766849518
ignored,0.3648979067802429
cannot,0.36447980999946594
ill,0.3644167184829712
assume,0.3638525605201721
hurt,0.3628273606300354
questioned,0.3626282513141632
blame,0.36258089542388916
intentionally,0.3625093698501587
suspended,0.36215052008628845
confused,0.3620167076587677
upset,0.36145761609077454
sorry,0.36127111315727234
deliberately,0.3608565330505371
disabled,0.36071890592575073
Nor,0.36041778326034546
lying,0.35918936133384705
absence,0.35881680250167847
incomplete,0.3582828938961029
abandoned,0.3533329963684082
refused,0.3525823652744293
violated,0.351358562707901
bother,0.3504643440246582
t,0.34935176372528076
cant,0.3485186994075775
wont,0.3449126183986664
deleted,0.34252044558525085
disclose,0.3423705995082855
delay,0.34189048409461975
unable,0.34011727571487427
custody,0.331368625164032
nor,0.32588502764701843
